Time;Speed
21:49:06;0.15
0:43:57;0.68
19:52:12;0.2
3:35:21;0.20
4:18:29;0.30
22:58:52;0.31
8:40:46;0.70
3:23:46;0.28
23:31:23;0.25
5:20:06;0.33
7:17:04;0.48
20:22:20;0.63
23:34:13;0.46
8:25:35;0.75
11:20:17;0.18
21:01:39;0.01
2:33:28;0.88
0:48:06;0.10
11:09:13;0.09
20:28:00;0.21
10:22:51;0.28
16:12:20;0.33
19:09:22;0.78
9:03:02;0.10
19:39:07;0.04
5:54:19;0.08
13:45:12;0.10
8:11:16;0.01
9:40:14;0.01
17:41:21;0.65
20:29:01;0.02
20:25:52;0.02
2:44:00;0.03
13:43:46;0.20
18:25:37;0.02
21:14:19;0.04
2:09:26;0.01
3:51:14;0.04
4:57:49;0.25
7:24:33;0.09
8:47:52;0.30
9:02:13;0.07
18:05:42;0.17
8:16:03;0.20
12:08:58;0.05
8:37:49;0.17
13:10:56;0.37
10:50:04;0.17
10:51:04;0.50
14:08:30;0.77
14:45:47;0.28
4:15:21;0.80
8:32:27;0.07
15:00:42;0.27
9:09:42;0.27
8:28:21;0.07
10:45:49;0.43
17:00:46;0.50
5:30:25;0.44
14:18:24;0.75
9:32:58;0.93
10:52:34;0.43
18:34:47;0.60
12:21:24;0.09
15:41:16;0.15
17:46:35;0.06
17:52:43;0.17
9:24:07;0.08
13:20:18;0.04
13:48:53;0.03
9:29:55;0.17
12:57:40;0.33
13:57:00;0.18
12:13:27;0.19
8:17:38;0.47
15:23:26;0.22
18:00:52;0.10
21:26:54;0.19
11:05:44;0.12
14:40:09;0.19
9:55:44;0.27
10:20:55;0.04
20:43:51;0.20
20:48:27;0.30
21:04:18;1.20
22:09:35;0.35
0:01:41;0.80
0:45:24;0.80
5:38:47;1.00
6:03:57;1.00
8:11:07;1.50
18:55:26;1.10
21:28:12;0.43
8:37:35;0.50
18:58:06;0.70
19:30:47;0.75
23:14:19;0.86
23:34:16;2.20
3:29:03;0.95
4:11:59;0.90
9:46:30;0.23
20:21:26;1.10
5:08:24;0.90
22:15:03;1.10
3:02:09;1.00
3:15:29;1.10
23:26:43;0.60
19:01:12;1.20
1:58:09;0.80
8:51:07;0.70
20:26:22;0.20
0:35:04;1.70
0:58:58;0.80
8:47:36;0.40
21:11:17;1.90
23:55:18;1.10
20:37:33;1.20
21:03:04;0.70
8:11:17;1.10
10:45:22;1.00
19:13:30;0.25
20:18:13;0.50
23:47:13;0.07
2:11:49;1.10
11:02:27;0.50
18:20:41;1.10
20:14:08;0.90
20:41:35;0.05
2:40:13;0.70
3:31:57;1.10
21:13:19;1.10
21:43:03;0.80
9:57:05;0.60
11:39:46;1.00
12:17:59;0.70
13:46:09;1.10
20:36:54;0.90
18:01:48;0.03
15:23:13;0.19
8:28:44;0.06
19:52:34;1.10
2:28:01;0.70
10:40:13;1.20
4:07:45;1.90
18:20:51;1.50
19:21:51;0.55
20:42:30;0.30
22:23:50;0.24
9:30:41;2.50
20:38:59;1.10
10:53:09;0.30
18:50:40;0.35
0:59:52;0.85
1:10:18;0.26
1:57:47;0.75
2:37:18;0.24
20:08:35;0.20
20:35:50;0.50
0:21:35;0.37
3:09:59;0.90
4:00:23;0.90
11:21:00;0.18
20:34:43;0.22
13:15:19;0.05
19:00:10;0.40
10:08:50;0.15
23:26:19;0.30
4:22:44;0.60
8:33:19;0.90
11:33:43;0.60
19:09:40;1.20
19:58:48;0.50
19:50:57;1.60
19:30:28;0.43
20:35:08;0.01
14:22:08;0.04
4:42:49;0.03
0:52:13;0.12
9:47:02;0.38
21:18:47;0.40
3:29:24;0.18
2:52:05;0.38
3:08:05;0.28
